('0', '0', '0', '0') 28
('0', '0', '0', '1') 29
('0', '0', '0', '2') 77
('0', '0', '0', '3') 46
('0', '0', '0', '4') 125
('0', '0', '0', '5') 845
('0', '0', '0', '6') 365
('0', '0', '0', '7') 557
('0', '0', '0', '8') 13
('0', '0', '0', '9') 253
('0', '0', '0', 'A') 509
('0', '0', '0', 'B') 157
('0', '0', '0', 'C') 189
('0', '0', '0', 'D') 285
('0', '0', '0', 'E') 109
('0', '0', '0', 'F') 397
('0', '0', '1', '0') 2910
('0', '0', '1', '1') 974
('0', '0', '1', '2') 5854
('0', '0', '1', '3') 30
('0', '0', '1', '4') 7870
('0', '0', '1', '5') 6686
('0', '0', '1', '6') 3614
('0', '0', '1', '7') 13487
('0', '0', '1', '8') 3518
('0', '0', '1', '9') 2190
('0', '0', '1', 'A') 2478
('0', '0', '1', 'B') 1918
('0', '0', '1', 'C') 14414
('0', '0', '1', 'D') 7934
('0', '0', '1', 'E') 6094
('0', '0', '1', 'F') 9934
('0', '0', '2', '0') 3822
('0', '0', '2', '1') 1502
('0', '0', '2', '2') 3838
('0', '0', '2', '3') 1374
('0', '0', '2', '4') 414
('0', '0', '2', '5') 2046
('0', '0', '2', '6') 9278
('0', '0', '2', '7') 9038
('0', '0', '2', '8') 686
('0', '0', '2', '9') 78
('0', '0', '2', 'A') 654
('0', '0', '2', 'B') 1054
('0', '0', '2', 'C') 5470
('0', '0', '2', 'D') 2958
('0', '0', '2', 'E') 1438
('0', '0', '2', 'F') 318
('0', '0', '3', '0') 5299
('0', '0', '3', '1') 7038
('0', '0', '3', '2') 2654
('0', '0', '3', '3') 6783
('0', '0', '3', '4') 174
('0', '0', '3', '5') 14015
('0', '0', '3', '6') 1902
('0', '0', '3', '7') 47
('0', '0', '3', '8') 142
('0', '0', '3', '9') 1710
('0', '0', '3', 'A') 5214
('0', '0', '3', 'B') 1182
('0', '0', '3', 'C') 2590
('0', '0', '3', 'D') 7694
('0', '0', '3', 'E') 2222
('0', '0', '3', 'F') 222
('0', '0', '4', '0') 1854
('0', '0', '4', '1') 7630
('0', '0', '4', '2') 1934
('0', '0', '4', '3') 5983
('0', '0', '4', '4') 10910
('0', '0', '4', '5') 126
('0', '0', '4', '6') 1461
('0', '0', '4', '7') 7806
('0', '0', '4', '8') 1278
('0', '0', '4', '9') 1998
('0', '0', '4', 'A') 2942
('0', '0', '4', 'B') 3022
('0', '0', '4', 'C') 2127
('0', '0', '4', 'D') 2341
('0', '0', '4', 'E') 1886
('0', '0', '4', 'F') 3358
('0', '0', '5', '0') 5630
('0', '0', '5', '1') 10606
('0', '0', '5', '2') 4100
('0', '0', '5', '3') 2686
('0', '0', '5', '4') 10206
('0', '0', '5', '5') 846
('0', '0', '5', '6') 1870
('0', '0', '5', '7') 894
('0', '0', '5', '8') 7390
('0', '0', '5', '9') 3918
('0', '0', '5', 'A') 6158
('0', '0', '5', 'B') 4654
('0', '0', '5', 'C') 12638
('0', '0', '5', 'D') 1294
('0', '0', '5', 'E') 2174
('0', '0', '5', 'F') 5966
('0', '0', '6', '0') 750
('0', '0', '6', '1') 1246
('0', '0', '6', '2') 3070
('0', '0', '6', '3') 478
('0', '0', '6', '4') 6942
('0', '0', '6', '5') 6590
('0', '0', '6', '6') 1230
('0', '0', '6', '7') 1534
('0', '0', '6', '8') 2206
('0', '0', '6', '9') 1470
('0', '0', '6', 'A') 366
('0', '0', '6', 'B') 1198
('0', '0', '6', 'C') 766
('0', '0', '6', 'D') 2270
('0', '0', '6', 'E') 1630
('0', '0', '6', 'F') 5438
('0', '0', '7', '0') 8766
('0', '0', '7', '1') 494
('0', '0', '7', '2') 558
('0', '0', '7', '3') 4947
('0', '0', '7', '4') 1070
('0', '0', '7', '5') 2015
('0', '0', '7', '6') 8558
('0', '0', '7', '7') 3694
('0', '0', '7', '8') 830
('0', '0', '7', '9') 13710
('0', '0', '7', 'A') 1150
('0', '0', '7', 'B') 606
('0', '0', '7', 'C') 1006
('0', '0', '7', 'D') 1790
('0', '0', '7', 'E') 1678
('0', '0', '7', 'F') 4974
('0', '0', '8', '0') 447
('0', '0', '8', '1') 4174
('0', '0', '8', '2') 87
('0', '0', '8', '3') 1422
('0', '0', '8', '4') 4782
('0', '0', '8', '5') 14
('0', '0', '8', '6') 6110
('0', '0', '8', '7') 7086
('0', '0', '8', '8') 3326
('0', '0', '8', '9') 270
('0', '0', '8', 'A') 14030
('0', '0', '8', 'B') 3470
('0', '0', '8', 'C') 1758
('0', '0', '8', 'D') 7982
('0', '0', '8', 'E') 734
('0', '0', '8', 'F') 3294
('0', '0', '9', '0') 3342
('0', '0', '9', '1') 11470
('0', '0', '9', '2') 254
('0', '0', '9', '3') 3646
('0', '0', '9', '4') 5182
('0', '0', '9', '5') 3166
('0', '0', '9', '6') 1598
('0', '0', '9', '7') 2110
('0', '0', '9', '8') 302
('0', '0', '9', '9') 4686
('0', '0', '9', 'A') 2974
('0', '0', '9', 'B') 1102
('0', '0', '9', 'C') 638
('0', '0', '9', 'D') 11038
('0', '0', '9', 'E') 1486
('0', '0', '9', 'F') 5646
('0', '0', 'A', '0') 4606
('0', '0', 'A', '1') 990
('0', '0', 'A', '2') 8959
('0', '0', 'A', '3') 7534
('0', '0', 'A', '4') 62
('0', '0', 'A', '5') 6334
('0', '0', 'A', '6') 6510
('0', '0', 'A', '7') 11886
('0', '0', 'A', '8') 10334
('0', '0', 'A', '9') 4334
